team,rank,av_age,gp,w,l,ol,pts,pts_perc,gf,ga,sow,sol,simp_rat_sys,strength_of_sched,goal_game,evgf,evga,pp,ppo,pp_perc,ppa,ppoa,pk_perc,sh,sha,pm_game,o_pm_game,shots,shot_percent,shots_against,sv_percent,pdo,year,playoff,champ,runner
Calgary Flames,7,28,82,46,25,11,103,0.628,218,200,2,7,0.3,0.08,5.1,121,107,87,478,18.2,80,508,84.25,8,7,17.9,16.5,2299,9.4,2260,0.915,100.9,2005,TRUE,FALSE,FALSE
Philadelphia Flyers,8,28.2,82,45,26,11,101,0.616,267,259,4,6,0,-0.1,6.41,164,150,80,444,18.02,97,465,79.14,19,6,14.5,14,2552,10.3,2370,0.893,99.6,2005,TRUE,FALSE,FALSE
New Jersey Devils,9,30,82,46,27,9,101,0.616,242,229,9,4,0.05,-0.11,5.74,152,156,78,441,17.69,63,349,81.95,3,6,11.5,14.2,2393,9.7,2403,0.906,100.3,2005,TRUE,FALSE,FALSE
New York Rangers,10,28.2,82,44,26,12,100,0.61,257,215,7,4,0.38,-0.14,5.76,163,123,83,442,18.78,79,486,83.74,4,9,14.4,13.7,2448,10.2,2358,0.911,101.3,2005,TRUE,FALSE,FALSE
San Jose Sharks,11,26.5,82,44,27,11,99,0.604,266,242,1,7,0.36,0.06,6.2,164,147,91,500,18.2,77,399,80.7,10,11,12.7,14.9,2483,10.7,2180,0.892,99.9,2005,TRUE,FALSE,FALSE
Mighty Ducks of Anaheim,12,28.2,82,43,27,12,98,0.598,254,229,3,7,0.37,0.06,5.89,155,125,87,480,18.13,84,510,83.53,9,13,17.6,17,2585,9.7,2431,0.909,100.6,2005,TRUE,FALSE,FALSE
Colorado Avalanche,13,29.6,82,43,30,9,95,0.579,283,257,3,6,0.39,0.07,6.59,180,170,89,473,18.82,69,448,84.6,11,12,14,15.4,2464,11.4,2415,0.896,101,2005,TRUE,FALSE,FALSE
Edmonton Oilers,14,28.7,82,41,28,13,95,0.579,256,251,7,9,0.15,0.09,6.18,146,161,88,485,18.14,76,478,84.1,15,5,14.4,15.5,2442,10.2,2094,0.884,98.6,2005,TRUE,FALSE,TRUE
Montreal Canadiens,15,27.9,82,42,31,9,93,0.567,243,247,2,3,-0.01,0.04,5.98,142,147,89,463,19.22,91,481,81.08,10,6,16,15,2470,9.8,2507,0.903,100.1,2005,TRUE,FALSE,FALSE
Vancouver Canucks,16,27.9,82,42,32,8,92,0.561,256,255,4,4,0.11,0.1,6.23,150,148,96,526,18.25,93,512,81.84,6,10,17.9,17.9,2358,10.7,2466,0.898,100.5,2005,FALSE,FALSE,FALSE
Tampa Bay Lightning,17,29.3,82,43,33,6,92,0.561,252,260,6,4,-0.18,-0.08,6.24,154,173,81,485,16.7,72,391,81.59,11,11,11.5,13.7,2594,9.5,2260,0.887,98.2,2005,TRUE,FALSE,FALSE
Toronto Maple Leafs,18,29.4,82,41,33,8,90,0.549,257,270,3,7,-0.11,0.05,6.43,133,152,107,501,21.36,99,496,80.04,14,12,16.8,16.9,2323,10.9,2509,0.895,100.4,2005,FALSE,FALSE,FALSE
Atlanta Thrashers,19,28.9,82,41,33,8,90,0.549,281,275,5,5,-0.03,-0.1,6.78,163,158,100,527,18.98,102,492,79.27,13,10,16.1,17.4,2522,10.9,2483,0.891,100,2005,FALSE,FALSE,FALSE
Los Angeles Kings,20,28.6,82,42,35,5,89,0.543,249,270,6,1,-0.15,0.11,6.33,151,153,77,541,14.23,104,489,78.73,15,12,17.6,20.4,2394,10.2,2459,0.891,99.3,2005,FALSE,FALSE,FALSE
Florida Panthers,21,27.6,82,37,34,11,85,0.518,240,257,4,5,-0.28,-0.07,6.06,168,149,63,411,15.33,91,514,82.3,5,12,15.3,13,2724,8.7,2853,0.912,99.9,2005,FALSE,FALSE,FALSE
Minnesota Wild,22,27.7,82,38,36,8,84,0.512,231,215,5,3,0.28,0.08,5.44,138,150,77,454,16.96,55,436,87.39,11,7,14.5,15.4,2194,10.3,2460,0.914,101.7,2005,FALSE,FALSE,FALSE
Phoenix Coyotes,23,28.4,82,38,39,5,81,0.494,246,271,4,3,-0.19,0.12,6.3,137,159,96,541,17.74,98,513,80.9,9,11,18.2,18,2318,10.4,2479,0.892,99.6,2005,FALSE,FALSE,FALSE
New York Islanders,24,27.7,82,36,40,6,78,0.476,230,278,9,3,-0.62,-0.04,6.2,140,161,76,450,16.89,99,476,79.2,5,15,15.2,14,2481,8.9,2549,0.892,98.1,2005,FALSE,FALSE,FALSE
Columbus Blue Jackets,25,27.4,82,35,43,4,74,0.451,223,279,8,3,-0.66,0.02,6.12,141,173,64,451,14.19,95,523,81.84,10,8,17,15.4,2250,9.6,2762,0.9,99.6,2005,FALSE,FALSE,FALSE
Boston Bruins,26,28,82,29,37,16,74,0.451,230,266,2,8,-0.36,0.08,6.05,157,170,62,418,14.83,78,479,83.72,9,10,14.2,12.8,2511,9.1,2633,0.902,99.3,2005,FALSE,FALSE,FALSE
Washington Capitals,27,27.6,82,29,41,12,70,0.427,237,306,7,6,-0.86,-0.02,6.62,143,166,72,490,14.69,116,550,78.91,15,18,18,16.3,2445,9.4,2880,0.896,99,2005,FALSE,FALSE,FALSE
Chicago Blackhawks,28,26.8,82,26,43,13,65,0.396,211,285,2,6,-0.86,0.04,6.05,152,179,51,417,12.23,88,547,83.91,6,12,18.5,15.2,2480,8.4,2417,0.885,96.9,2005,FALSE,FALSE,FALSE
Pittsburgh Penguins,29,26.8,82,22,46,14,58,0.354,244,316,1,6,-0.89,-0.01,6.83,136,181,94,495,18.99,113,533,78.8,13,16,18.8,16.7,2297,10.6,2723,0.886,99.2,2005,FALSE,FALSE,FALSE
St. Louis Blues,30,29,82,21,46,15,57,0.348,197,292,4,8,-1.09,0.07,5.96,112,194,75,512,14.65,82,461,82.21,6,8,16.5,17.5,2335,8.3,2510,0.887,97,2005,FALSE,FALSE,FALSE
League Average,,28.3,82,41,32,9,91,0.557,253,253,,,0,0,6.17,,,85,480,17.68,85,480,82.32,11,11,15.8,15.8,2458,10.3,2458,0.899,,2005,FALSE,FALSE,FALSE
